date,coin,price
10-11-2017,bitcoin,6346.70
10-11-2017,ethereum,315.69
8-12-2017,bitcoin,10930.24
8-12-2017,ethereum,485.04
15-12-2017,bitcoin,19650
15-12-2017,ethereum,703.59
15-3-2018,bitcoin,7857
15-3-2018,ethereum,549.79
15-7-2018,bitcoin,6248
15-7-2018,ethereum,434.13
15-11-2018,bitcoin,5504
15-11-2018,ethereum,172.49
15-3-2019,bitcoin,3990
15-3-2019,ethereum,140.48
15-7-2019,bitcoin,10666
15-7-2019,ethereum,269
15-11-2019,bitcoin,8480.79
15-11-2019,ethereum,182.25
15-3-2020,bitcoin,5165
15-3-2020,ethereum,122.20
15-7-2020,bitcoin,9175
15-7-2020,ethereum,235.80
15-11-2020,bitcoin,16082
15-11-2020,ethereum,461.16
15-3-2021,bitcoin,61283
15-3-2021,ethereum,1924.40
15-7-2021,bitcoin,31576.20
15-7-2021,ethereum,1902.57
15-11-2021,bitcoin,64400
15-11-2021,ethereum,4644.43
15-3-2022,bitcoin,42232.20
15-3-2022,ethereum,2952.33
15-5-2022,bitcoin,30152
15-5-2022,ethereum,2053.33
15-9-2022,bitcoin,20113.30
15-9-2022,ethereum,1468.92